hour,bin_seconds,status,exit_code,run_dir,timestamp_dir,template_plot_dir,base_plot_count,log_plot_count,template_status,n_fitted,n_valid,n_plot_entries,bins_with_any_bound_hits,bins_with_suspicious_bound_hits,start_utc,end_utc
72,259200,ok,0,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_72h,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_72h\20260420T074342Z,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_72h\20260420T074342Z\template_bin_fits,31,0,success,31,31,31,31,31,2026-04-20T07:43:38.093633+00:00,2026-04-20T11:27:21.926180+00:00
60,216000,ok,0,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_60h,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_60h\20260420T112726Z,C:\Users\keega\Radon\RMTest\.codex_run_template_fall_binscan_fullres_20260420T074338Z\outputs\template_bin_60h\20260420T112726Z\template_bin_fits,37,0,success,37,37,37,37,37,2026-04-20T11:27:21.955118+00:00,2026-04-20T15:37:33.172095+00:00
